Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 37.04      0.10     0.10   276879     0.00     0.00  Dodge::Renderer::render()
 22.22      0.16     0.06                             draw()
 11.11      0.19     0.03   276879     0.00     0.00  Dodge::Renderer::setGeometry(float const*, Dodge::Renderer::primitive_t, int)
  7.41      0.21     0.02   276879     0.00     0.00  Dodge::Renderer::setActiveTexture(unsigned int)
  5.56      0.23     0.01   276879     0.00     0.00  Dodge::Renderer::setColours(float const*, int)
  5.56      0.24     0.01   276879     0.00     0.00  Dodge::Renderer::setTextureCoords(float const*, int)
  3.70      0.25     0.01   276879     0.00     0.00  Dodge::Renderer::primitiveToGLType(Dodge::Renderer::primitive_t) const
  3.70      0.26     0.01        8     1.25     1.25  constructModels()
  1.85      0.27     0.01   553758     0.00     0.00  Dodge::RenderBrush::getLineWidth() const
  1.85      0.27     0.01        2     2.50     2.50  Dodge::Vec2f::Vec2f()
  0.00      0.27     0.00   554208     0.00     0.00  boost::shared_ptr<Dodge::RenderBrush>::operator->() const
  0.00      0.27     0.00   276883     0.00     0.00  cml::fixed_2D<float, 4, 4, cml::col_major>::data() const
  0.00      0.27     0.00   276879     0.00     0.00  Dodge::Camera::getMatrix() const
  0.00      0.27     0.00   276879     0.00     0.00  Dodge::Renderer::isSupportedPrimitive(Dodge::Renderer::primitive_t) const
  0.00      0.27     0.00   276879     0.00     0.00  boost::shared_ptr<Dodge::Camera>::operator->() const
  0.00      0.27     0.00      360     0.00     0.00  Dodge::RenderBrush::getFillColour() const
  0.00      0.27     0.00      270     0.00     0.00  std::remove_reference<Dodge::RenderBrush*&>::type&& std::move<Dodge::RenderBrush*&>(Dodge::RenderBrush*&)
  0.00      0.27     0.00      188     0.00     0.00  boost::detail::shared_count::~shared_count()
  0.00      0.27     0.00      182     0.00     0.00  boost::detail::shared_count::shared_count(boost::detail::shared_count const&)
  0.00      0.27     0.00      182     0.00     0.00  boost::detail::sp_counted_base::add_ref_copy()
  0.00      0.27     0.00      182     0.00     0.00  boost::detail::atomic_increment(int*)
  0.00      0.27     0.00      180     0.00     0.00  boost::shared_ptr<Dodge::RenderBrush>::shared_ptr<Dodge::RenderBrush>(boost::shared_ptr<Dodge::RenderBrush> const&, boost::detail::sp_enable_if_convertible<Dodge::RenderBrush, Dodge::RenderBrush>::type)
  0.00      0.27     0.00      180     0.00     0.00  boost::shared_ptr<Dodge::RenderBrush>::~shared_ptr()
  0.00      0.27     0.00       93     0.00     0.00  boost::detail::shared_count::swap(boost::detail::shared_count&)
  0.00      0.27     0.00       90     0.00     0.00  Dodge::RenderBrush::setFillColour(Dodge::Colour const&)
  0.00      0.27     0.00       90     0.00     0.00  Dodge::Renderer::attachBrush(boost::shared_ptr<Dodge::RenderBrush>)
  0.00      0.27     0.00       90     0.00     0.00  Dodge::Renderer::clear()
  0.00      0.27     0.00       90     0.00     0.00  boost::shared_ptr<Dodge::RenderBrush>::swap(boost::shared_ptr<Dodge::RenderBrush>&)
  0.00      0.27     0.00       90     0.00     0.00  boost::shared_ptr<Dodge::RenderBrush>::operator=(boost::shared_ptr<Dodge::RenderBrush> const&)
  0.00      0.27     0.00       90     0.00     0.00  Dodge::Graphics2d::setFillColour(Dodge::Colour const&) const
  0.00      0.27     0.00       90     0.00     0.00  void std::swap<Dodge::RenderBrush*>(Dodge::RenderBrush*&, Dodge::RenderBrush*&)
  0.00      0.27     0.00       62     0.00     0.00  std::_Rb_tree_iterator<std::pair<Dodge::WinIO::winEvent_t const, std::vector<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_>, std::allocator<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_> > > > >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<Dodge::WinIO::winEvent_t const, std::vector<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_>, std::allocator<boost::variant<Functor<void, NullType>, Functor<void, TypeList<int, NullType> >, Functor<void, TypeList<int, TypeList<int, NullType> > >, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_, boost::detail::variant::void_> > > > >*)
